customer_number,first_name,last_name,email,country,city,zip_code,birth_date,created_at
CUST000060,Marie,Takam,cust000060@exemple.cm,Cameroon,Douala,00237,1967-08-23,2021-04-13
CUST000061,Marie,Mballa,cust000061@exemple.cm,Cameroon,Garoua,00237,2003-07-25,2021-11-07
CUST000062,Franck,Adamou,cust000062@exemple.cm,Cameroon,Kumba,00237,1977-06-29,2023-10-02
CUST000063,Grace,Takam,cust000063@exemple.cm,Cameroon,Ebolowa,00237,1970-12-08,2024-01-21
CUST000064,Fatima,Kengne,cust000064@exemple.cm,Cameroon,Maroua,00237,1990-11-06,2022-08-26
CUST000065,Fatima,Edimo,cust000065@exemple.cm,Cameroon,Yaoundé,00237,2001-03-23,2022-04-13
CUST000066,Joseph,Nana,cust000066@exemple.cm,Cameroon,Bertoua,00237,1994-07-24,2022-06-01
CUST000067,Kevin,Ngono,cust000067@exemple.cm,Cameroon,Bafoussam,00237,1985-12-13,2024-11-04
CUST000068,Marie,Ngono,cust000068@exemple.cm,Cameroon,Bertoua,00237,1994-04-25,2023-08-16
CUST000069,Awa,Njoya,cust000069@exemple.cm,Cameroon,Yaoundé,00237,1997-09-01,2021-11-25
CUST000070,Fatima,Mballa,cust000070@exemple.cm,Cameroon,Maroua,00237,1976-02-26,2021-01-27
CUST000071,Samuel,Mbarga,cust000071@exemple.cm,Cameroon,Maroua,00237,1971-04-16,2022-05-14
CUST000072,Grace,Edimo,cust000072@exemple.cm,Cameroon,Maroua,00237,1976-03-16,2024-11-25
CUST000073,Luc,Mballa,cust000073@exemple.cm,Cameroon,Yaoundé,00237,2001-03-31,2024-10-30
CUST000074,Clarisse,Njoya,cust000074@exemple.cm,Cameroon,Douala,00237,1967-04-09,2023-08-28
CUST000075,Luc,Adamou,cust000075@exemple.cm,Cameroon,Buea,00237,1969-03-09,2024-03-23
CUST000076,Franck,Adamou,cust000076@exemple.cm,Cameroon,Bertoua,00237,1983-03-26,2022-09-21
CUST000077,Esther,Ngono,cust000077@exemple.cm,Cameroon,Bertoua,00237,1967-08-19,2020-12-03
CUST000078,Awa,Talla,cust000078@exemple.cm,Cameroon,Bamenda,00237,1976-11-24,2024-05-24
CUST000079,Kevin,Kengne,cust000079@exemple.cm,Cameroon,Kumba,00237,1983-12-23,2023-11-27
CUST000080,Franck,Tchatchou,cust000080@exemple.cm,Cameroon,Garoua,00237,1994-09-10,2024-01-11
CUST000081,Amadou,Biloa,cust000081@exemple.cm,Cameroon,Limbe,00237,1978-04-24,2021-03-21
CUST000082,Kevin,Kamga,cust000082@exemple.cm,Cameroon,Douala,00237,1989-04-28,2020-05-04
CUST000083,Franck,Mballa,cust000083@exemple.cm,Cameroon,Kumba,00237,1967-04-02,2023-04-11
CUST000084,Clarisse,Edimo,cust000084@exemple.cm,Cameroon,Buea,00237,1972-01-24,2020-04-26
CUST000085,Marie,Nguesso,cust000085@exemple.cm,Cameroon,Garoua,00237,1968-01-28,2023-05-03
CUST000086,Grace,Biloa,cust000086@exemple.cm,Cameroon,Garoua,00237,1983-02-11,2020-09-02
CUST000087,Amadou,Biloa,cust000087@exemple.cm,Cameroon,Yaoundé,00237,1990-12-21,2023-05-02
CUST000088,Didier,Biloa,cust000088@exemple.cm,Cameroon,Kumba,00237,1983-10-22,2023-09-08
CUST000089,Fatima,Nguesso,cust000089@exemple.cm,Cameroon,Limbe,00237,1979-03-12,2021-06-18
CUST000090,Pauline,Nana,cust000090@exemple.cm,Cameroon,Buea,00237,1979-02-04,2021-05-03
CUST000091,Pauline,Talla,cust000091@exemple.cm,Cameroon,Ngaoundéré,00237,1995-02-17,2023-08-14
CUST000092,Amadou,Talla,cust000092@exemple.cm,Cameroon,Ebolowa,00237,1998-09-23,2020-05-28
CUST000093,Marie,Mballa,cust000093@exemple.cm,Cameroon,Garoua,00237,1990-04-04,2020-07-23
CUST000094,Samuel,Takam,cust000094@exemple.cm,Cameroon,Ngaoundéré,00237,1987-09-11,2021-06-27
CUST000095,Grace,Adamou,cust000095@exemple.cm,Cameroon,Ngaoundéré,00237,2004-07-07,2020-05-20
CUST000096,Franck,Njoya,cust000096@exemple.cm,Cameroon,Kumba,00237,1977-10-14,2020-11-19
CUST000097,Didier,Kengne,cust000097@exemple.cm,Cameroon,Bafoussam,00237,1996-07-23,2021-09-11
CUST000098,Sophie,Njoya,cust000098@exemple.cm,Cameroon,Kumba,00237,1988-09-23,2020-01-17
CUST000099,Marie,Takam,cust000099@exemple.cm,Cameroon,Buea,00237,1978-06-07,2023-09-20
CUST000100,Grace,Edimo,cust000100@exemple.cm,Cameroon,Limbe,00237,1976-11-12,2020-08-24
CUST000101,Pauline,Mbarga,cust000101@exemple.cm,Cameroon,Ebolowa,00237,1989-10-26,2020-11-14
CUST000102,Joseph,Adamou,cust000102@exemple.cm,Cameroon,Bafoussam,00237,1974-06-13,2024-01-09
CUST000103,Pauline,Mballa,cust000103@exemple.cm,Cameroon,Maroua,00237,1993-06-14,2024-10-12
CUST000104,Amadou,Edimo,cust000104@exemple.cm,Cameroon,Bafoussam,00237,1976-04-07,2024-09-28
CUST000105,Pauline,Ngono,cust000105@exemple.cm,Cameroon,Douala,00237,1984-01-01,2024-08-25
CUST000106,Samuel,Nguesso,cust000106@exemple.cm,Cameroon,Bamenda,00237,1979-12-18,2024-04-28
CUST000107,Franck,Mballa,cust000107@exemple.cm,Cameroon,Limbe,00237,1972-04-01,2024-02-27
CUST000108,Amadou,Edimo,cust000108@exemple.cm,Cameroon,Yaoundé,00237,1984-03-09,2023-02-22
CUST000109,Grace,Tchatchou,cust000109@exemple.cm,Cameroon,Kumba,00237,2004-08-12,2023-11-16
CUST000110,Joseph,Biloa,cust000110@exemple.cm,Cameroon,Kumba,00237,1966-08-14,2024-09-05
CUST000111,Samuel,Ngono,cust000111@exemple.cm,Cameroon,Bamenda,00237,1971-08-24,2022-05-30
CUST000112,Luc,Ngono,cust000112@exemple.cm,Cameroon,Ngaoundéré,00237,1981-05-11,2024-06-18
CUST000113,Fatima,Nguesso,cust000113@exemple.cm,Cameroon,Yaoundé,00237,1974-06-04,2023-10-28
CUST000114,Clarisse,Takam,cust000114@exemple.cm,Cameroon,Bertoua,00237,1980-11-12,2024-05-16
CUST000115,Samuel,Takam,cust000115@exemple.cm,Cameroon,Garoua,00237,1992-11-03,2024-03-14
CUST000116,Awa,Kengne,cust000116@exemple.cm,Cameroon,Buea,00237,2003-10-14,2020-11-28
CUST000117,Amadou,Tchatchou,cust000117@exemple.cm,Cameroon,Limbe,00237,2004-07-16,2022-04-24
CUST000118,Grace,Nana,cust000118@exemple.cm,Cameroon,Bafoussam,00237,1979-11-26,2024-05-21
CUST000119,Awa,Adamou,cust000119@exemple.cm,Cameroon,Bamenda,00237,2003-10-05,2024-02-14
CUST000120,Kevin,Edimo,cust000120@exemple.cm,Cameroon,Bertoua,00237,1972-02-22,2024-05-31
CUST000121,Luc,Talla,cust000121@exemple.cm,Cameroon,Garoua,00237,2004-02-15,2020-03-20
CUST000122,Grace,Talla,cust000122@exemple.cm,Cameroon,Ngaoundéré,00237,1973-12-14,2024-07-30
CUST000123,Awa,Njoya,cust000123@exemple.cm,Cameroon,Garoua,00237,1978-09-10,2024-08-07
CUST000124,Sophie,Adamou,cust000124@exemple.cm,Cameroon,Bertoua,00237,1975-01-01,2020-02-18
CUST000125,Luc,Edimo,cust000125@exemple.cm,Cameroon,Bamenda,00237,1979-09-23,2021-07-24
CUST000126,Clarisse,Nana,cust000126@exemple.cm,Cameroon,Bafoussam,00237,1980-10-02,2023-08-06
CUST000127,Joseph,Ngono,cust000127@exemple.cm,Cameroon,Yaoundé,00237,2002-11-05,2023-01-03
CUST000128,Samuel,Biloa,cust000128@exemple.cm,Cameroon,Bamenda,00237,2004-05-05,2021-06-18
CUST000129,Didier,Nana,cust000129@exemple.cm,Cameroon,Ngaoundéré,00237,1966-09-19,2020-08-10
CUST000130,Joseph,Nana,cust000130@exemple.cm,Cameroon,Ebolowa,00237,1997-09-06,2024-05-29
CUST000131,Esther,Takam,cust000131@exemple.cm,Cameroon,Ebolowa,00237,1987-12-11,2020-08-24
CUST000132,Amadou,Essomba,cust000132@exemple.cm,Cameroon,Bertoua,00237,1973-07-12,2021-06-05
CUST000133,Grace,Kengne,cust000133@exemple.cm,Cameroon,Kumba,00237,1965-01-28,2022-11-30
CUST000134,Kevin,Essomba,cust000134@exemple.cm,Cameroon,Bafoussam,00237,1995-10-24,2024-01-13
CUST000135,Esther,Edimo,cust000135@exemple.cm,Cameroon,Bafoussam,00237,1973-11-03,2022-01-15
CUST000136,Joseph,Nguesso,cust000136@exemple.cm,Cameroon,Yaoundé,00237,1979-10-24,2023-06-30
CUST000137,Clarisse,Mbarga,cust000137@exemple.cm,Cameroon,Bafoussam,00237,1997-04-15,2021-09-07
CUST000138,Esther,Essomba,cust000138@exemple.cm,Cameroon,Bamenda,00237,1983-04-28,2021-10-30
CUST000139,Fatima,Nana,cust000139@exemple.cm,Cameroon,Bafoussam,00237,1989-11-14,2020-09-17
CUST000140,Kevin,Takam,cust000140@exemple.cm,Cameroon,Buea,00237,1982-01-03,2023-10-19
CUST000141,Pauline,Nana,cust000141@exemple.cm,Cameroon,Kumba,00237,1992-08-11,2023-03-11
CUST000142,Pauline,Mbarga,cust000142@exemple.cm,Cameroon,Garoua,00237,2002-05-26,2020-01-01
CUST000143,Didier,Biloa,cust000143@exemple.cm,Cameroon,Bafoussam,00237,1984-04-14,2024-05-28
CUST000144,Franck,Talla,cust000144@exemple.cm,Cameroon,Bafoussam,00237,1979-06-16,2022-08-10
CUST000145,Franck,Kengne,cust000145@exemple.cm,Cameroon,Limbe,00237,1974-08-03,2022-11-12
CUST000146,Marie,Mbarga,cust000146@exemple.cm,Cameroon,Kumba,00237,1972-08-12,2023-09-11
CUST000147,Didier,Kamga,cust000147@exemple.cm,Cameroon,Yaoundé,00237,1994-10-12,2023-07-20
CUST000148,Fatima,Nguesso,cust000148@exemple.cm,Cameroon,Bamenda,00237,2001-09-18,2024-03-18
CUST000149,Fatima,Tchatchou,cust000149@exemple.cm,Cameroon,Douala,00237,1975-01-29,2024-07-09
CUST000150,Franck,Biloa,cust000150@exemple.cm,Cameroon,Yaoundé,00237,1967-01-28,2021-05-16
CUST000151,Grace,Nguesso,cust000151@exemple.cm,Cameroon,Ebolowa,00237,1985-06-06,2022-04-28
CUST000152,Kevin,Nana,cust000152@exemple.cm,Cameroon,Maroua,00237,1973-09-21,2024-01-11
CUST000153,Samuel,Nguesso,cust000153@exemple.cm,Cameroon,Limbe,00237,1982-12-05,2021-05-14
CUST000154,Luc,Kengne,cust000154@exemple.cm,Cameroon,Yaoundé,00237,1965-04-01,2024-03-17
CUST000155,Fatima,Tchatchou,cust000155@exemple.cm,Cameroon,Limbe,00237,1999-12-02,2022-05-20
CUST000156,Amadou,Mballa,cust000156@exemple.cm,Cameroon,Garoua,00237,1988-03-27,2022-08-09
CUST000157,Franck,Tchatchou,cust000157@exemple.cm,Cameroon,Maroua,00237,2003-01-21,2020-09-05
CUST000158,Clarisse,Biloa,cust000158@exemple.cm,Cameroon,Ngaoundéré,00237,1994-12-12,2022-12-23
CUST000159,Franck,Biloa,cust000159@exemple.cm,Cameroon,Limbe,00237,1998-11-18,2024-12-30
CUST000160,Luc,Takam,cust000160@exemple.cm,Cameroon,Kumba,00237,1987-08-24,2022-05-23
CUST000161,Kevin,Njoya,cust000161@exemple.cm,Cameroon,Maroua,00237,1985-01-01,2020-11-21
CUST000162,Awa,Adamou,cust000162@exemple.cm,Cameroon,Bafoussam,00237,1985-03-10,2021-06-14
CUST000163,Awa,Mballa,cust000163@exemple.cm,Cameroon,Maroua,00237,1977-06-10,2024-04-17
CUST000164,Pauline,Talla,cust000164@exemple.cm,Cameroon,Yaoundé,00237,1993-02-11,2021-05-04
CUST000165,Fatima,Mbarga,cust000165@exemple.cm,Cameroon,Ngaoundéré,00237,1997-01-03,2021-08-08
CUST000166,Marie,Tchatchou,cust000166@exemple.cm,Cameroon,Buea,00237,1979-05-06,2023-01-11
CUST000167,Kevin,Tchatchou,cust000167@exemple.cm,Cameroon,Limbe,00237,1975-05-17,2022-02-23
CUST000168,Esther,Nana,cust000168@exemple.cm,Cameroon,Ngaoundéré,00237,1974-08-07,2020-05-11
CUST000169,Esther,Ngono,cust000169@exemple.cm,Cameroon,Garoua,00237,1989-05-05,2022-08-12
CUST000170,Esther,Takam,cust000170@exemple.cm,Cameroon,Ebolowa,00237,2002-05-13,2022-05-10
CUST000171,Luc,Takam,cust000171@exemple.cm,Cameroon,Ebolowa,00237,1996-03-14,2020-02-10
CUST000172,Amadou,Kamga,cust000172@exemple.cm,Cameroon,Bamenda,00237,1982-01-24,2022-09-03
CUST000173,Luc,Takam,cust000173@exemple.cm,Cameroon,Bertoua,00237,1998-10-19,2022-03-09
CUST000174,Kevin,Mballa,cust000174@exemple.cm,Cameroon,Ebolowa,00237,1989-02-22,2024-03-10
CUST000175,Fatima,Mbarga,cust000175@exemple.cm,Cameroon,Bertoua,00237,1974-11-23,2022-09-26
CUST000176,Esther,Kamga,cust000176@exemple.cm,Cameroon,Bafoussam,00237,1986-10-14,2020-02-29
CUST000177,Esther,Essomba,cust000177@exemple.cm,Cameroon,Buea,00237,1995-06-20,2024-06-22
CUST000178,Grace,Tchatchou,cust000178@exemple.cm,Cameroon,Ebolowa,00237,2002-09-14,2022-08-15
CUST000179,Grace,Nana,cust000179@exemple.cm,Cameroon,Ebolowa,00237,1988-12-17,2020-02-25
CUST000180,Amadou,Edimo,cust000180@exemple.cm,Cameroon,Bafoussam,00237,1990-04-26,2023-09-19
CUST000181,Luc,Talla,cust000181@exemple.cm,Cameroon,Buea,00237,1984-03-24,2020-10-04
CUST000182,Esther,Kamga,cust000182@exemple.cm,Cameroon,Garoua,00237,1967-04-04,2021-06-16
CUST000183,Joseph,Kengne,cust000183@exemple.cm,Cameroon,Bertoua,00237,1985-05-25,2021-10-31
CUST000184,Luc,Nana,cust000184@exemple.cm,Cameroon,Bamenda,00237,1977-06-25,2024-03-20
CUST000185,Franck,Ngono,cust000185@exemple.cm,Cameroon,Limbe,00237,2002-06-15,2020-06-16
CUST000186,Joseph,Adamou,cust000186@exemple.cm,Cameroon,Bafoussam,00237,1989-03-13,2020-04-16
CUST000187,Sophie,Ngono,cust000187@exemple.cm,Cameroon,Douala,00237,1968-01-30,2024-05-18
CUST000188,Luc,Ngono,cust000188@exemple.cm,Cameroon,Ebolowa,00237,1976-02-04,2021-02-12
CUST000189,Samuel,Talla,cust000189@exemple.cm,Cameroon,Bafoussam,00237,1971-11-02,2021-05-03
CUST000190,Fatima,Talla,cust000190@exemple.cm,Cameroon,Limbe,00237,1970-02-18,2023-03-01
CUST000191,Joseph,Tchatchou,cust000191@exemple.cm,Cameroon,Ebolowa,00237,1976-06-30,2024-04-19
CUST000192,Kevin,Edimo,cust000192@exemple.cm,Cameroon,Buea,00237,1992-03-29,2024-03-11
CUST000193,Didier,Ngono,cust000193@exemple.cm,Cameroon,Bamenda,00237,1978-12-15,2020-08-09
CUST000194,Grace,Nana,cust000194@exemple.cm,Cameroon,Bertoua,00237,1990-10-30,2023-10-19
CUST000195,Marie,Biloa,cust000195@exemple.cm,Cameroon,Limbe,00237,1997-01-27,2021-02-10
CUST000196,Fatima,Edimo,cust000196@exemple.cm,Cameroon,Limbe,00237,2002-04-05,2023-07-08
CUST000197,Luc,Nguesso,cust000197@exemple.cm,Cameroon,Ebolowa,00237,1999-08-27,2021-09-09
CUST000198,Awa,Biloa,cust000198@exemple.cm,Cameroon,Douala,00237,2001-02-18,2020-09-04
CUST000199,Esther,Nguesso,cust000199@exemple.cm,Cameroon,Ngaoundéré,00237,1980-07-29,2022-12-27
CUST000200,Sophie,Kamga,cust000200@exemple.cm,Cameroon,Douala,00237,1968-02-04,2022-11-02
CUST000201,Luc,Talla,cust000201@exemple.cm,Cameroon,Yaoundé,00237,2003-02-10,2022-05-10
CUST000202,Sophie,Takam,cust000202@exemple.cm,Cameroon,Maroua,00237,1984-06-12,2022-01-11
CUST000203,Esther,Tchatchou,cust000203@exemple.cm,Cameroon,Limbe,00237,1996-09-23,2020-11-09
CUST000204,Pauline,Biloa,cust000204@exemple.cm,Cameroon,Kumba,00237,1988-05-28,2023-08-25
CUST000205,Franck,Nana,cust000205@exemple.cm,Cameroon,Limbe,00237,1999-10-01,2022-09-17
CUST000206,Joseph,Njoya,cust000206@exemple.cm,Cameroon,Garoua,00237,1991-07-31,2021-07-03
CUST000207,Pauline,Takam,cust000207@exemple.cm,Cameroon,Maroua,00237,2002-04-07,2020-06-26
CUST000208,Franck,Biloa,cust000208@exemple.cm,Cameroon,Ebolowa,00237,1975-12-10,2024-03-16
CUST000209,Joseph,Ngono,cust000209@exemple.cm,Cameroon,Maroua,00237,1994-12-22,2022-02-15
CUST000210,Samuel,Talla,cust000210@exemple.cm,Cameroon,Garoua,00237,2003-03-05,2021-10-27
CUST000211,Pauline,Kamga,cust000211@exemple.cm,Cameroon,Bamenda,00237,1980-12-01,2024-06-21
CUST000212,Kevin,Takam,cust000212@exemple.cm,Cameroon,Bamenda,00237,2004-06-28,2023-05-05
CUST000213,Clarisse,Adamou,cust000213@exemple.cm,Cameroon,Yaoundé,00237,1989-12-07,2020-01-21
CUST000214,Esther,Talla,cust000214@exemple.cm,Cameroon,Kumba,00237,1975-10-30,2024-01-14
CUST000215,Kevin,Talla,cust000215@exemple.cm,Cameroon,Bafoussam,00237,1999-01-04,2021-05-07
CUST000216,Franck,Kengne,cust000216@exemple.cm,Cameroon,Douala,00237,1996-12-06,2022-10-02
CUST000217,Fatima,Nana,cust000217@exemple.cm,Cameroon,Limbe,00237,1969-03-05,2021-08-25
CUST000218,Sophie,Biloa,cust000218@exemple.cm,Cameroon,Ngaoundéré,00237,1975-12-01,2021-09-19
CUST000219,Clarisse,Kamga,cust000219@exemple.cm,Cameroon,Bertoua,00237,1986-03-25,2023-02-07
CUST000220,Joseph,Kamga,cust000220@exemple.cm,Cameroon,Limbe,00237,1998-06-18,2023-02-01
CUST000221,Pauline,Mbarga,cust000221@exemple.cm,Cameroon,Garoua,00237,1985-05-10,2021-07-08
CUST000222,Fatima,Kamga,cust000222@exemple.cm,Cameroon,Yaoundé,00237,1970-05-31,2024-01-17
CUST000223,Awa,Essomba,cust000223@exemple.cm,Cameroon,Buea,00237,1998-04-29,2023-01-02
CUST000224,Kevin,Talla,cust000224@exemple.cm,Cameroon,Bamenda,00237,1973-08-05,2021-03-19
CUST000225,Awa,Mballa,cust000225@exemple.cm,Cameroon,Ebolowa,00237,1997-07-03,2023-04-22
CUST000226,Luc,Adamou,cust000226@exemple.cm,Cameroon,Bamenda,00237,1977-09-11,2020-07-24
CUST000227,Samuel,Mbarga,cust000227@exemple.cm,Cameroon,Douala,00237,1975-03-17,2022-01-09
CUST000228,Samuel,Mbarga,cust000228@exemple.cm,Cameroon,Douala,00237,1996-10-05,2022-12-29
CUST000229,Pauline,Essomba,cust000229@exemple.cm,Cameroon,Buea,00237,1967-06-13,2023-02-07
CUST000230,Awa,Talla,cust000230@exemple.cm,Cameroon,Yaoundé,00237,1993-08-12,2024-11-13
CUST000231,Didier,Mbarga,cust000231@exemple.cm,Cameroon,Maroua,00237,2004-02-24,2020-01-26
CUST000232,Joseph,Tchatchou,cust000232@exemple.cm,Cameroon,Douala,00237,1986-06-23,2022-06-21
CUST000233,Franck,Edimo,cust000233@exemple.cm,Cameroon,Yaoundé,00237,1976-04-29,2024-10-30
CUST000234,Marie,Biloa,cust000234@exemple.cm,Cameroon,Bafoussam,00237,1982-12-23,2022-10-04
CUST000235,Samuel,Tchatchou,cust000235@exemple.cm,Cameroon,Ebolowa,00237,1995-10-17,2020-04-19
CUST000236,Fatima,Edimo,cust000236@exemple.cm,Cameroon,Kumba,00237,1978-08-19,2020-06-23
CUST000237,Didier,Biloa,cust000237@exemple.cm,Cameroon,Ebolowa,00237,1999-04-17,2022-05-02
CUST000238,Clarisse,Nana,cust000238@exemple.cm,Cameroon,Maroua,00237,1975-02-15,2024-05-07
CUST000239,Luc,Biloa,cust000239@exemple.cm,Cameroon,Bertoua,00237,1984-11-10,2021-08-31
CUST000240,Didier,Ngono,cust000240@exemple.cm,Cameroon,Ebolowa,00237,1978-09-13,2023-03-10
CUST000241,Awa,Adamou,cust000241@exemple.cm,Cameroon,Bafoussam,00237,1998-03-14,2020-07-22
CUST000242,Sophie,Edimo,cust000242@exemple.cm,Cameroon,Buea,00237,1974-06-20,2021-06-25
CUST000243,Clarisse,Edimo,cust000243@exemple.cm,Cameroon,Buea,00237,1975-10-05,2020-12-21
CUST000244,Franck,Essomba,cust000244@exemple.cm,Cameroon,Ebolowa,00237,1965-02-13,2022-04-16
CUST000245,Amadou,Adamou,cust000245@exemple.cm,Cameroon,Bamenda,00237,1986-01-30,2021-08-19
CUST000246,Kevin,Njoya,cust000246@exemple.cm,Cameroon,Maroua,00237,1996-09-17,2021-08-02
